Description,Market,Names,No_Stage_Amount,No_Stage_Date,Pitch,Seed_Amount,Seed_Date,Series_A_Amount,Series_A_Date,Series_B_Amount,Series_B_Date,Series_C_Amount,Series_C_Date,Series_D_Amount,Series_D_Date,Stage,data_source,Company Name,Tags,Location,Investors,Website,Founded Year,Address,Lat,Long,Company Size,Tech stack,Marketing Stack,Design Stack,Product Stack
,Databases,ParStream,,,,,,"$5,600,000","Aug 14, 2012","$8,000,000","Oct 17, 2013",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,-,Mashable,,,,,,"$13,300,000","Jan  6, 2014","$17,000,000","Jan 29, 2015",,,,,Series D,GitHub_funding,,,,,,,,,,,,,,
"Crimson Hexagon delivers social media intelligence, monitoring, analysis and analytics through patent-pending technology invented at Harvard University.",Brand Marketing,Crimson-Hexagon,"$389,200","Jan  6, 2011",,,,,,"$5,000,000","May 24, 2011",,,,,-,GitHub_funding,,,,,,,,,,,,,,
NICE Real-Time Process Optimization provides next-best-action recommendations to increase contact center efficiency and close sales opportunities in real-time,Software,Eglue-Business-Technologies,"$12,000,000","Apr 14, 2008",,,,,,"$10,000,000","Jul  2, 2006",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Photography,Tribold,"$11,000,000","Jan 14, 2009",,,,,,"$15,000,000","Mar 22, 2007",,,,,-,GitHub_funding,,,,,,,,,,,,,,
Prolexic is the world's largest and most trusted distributed denial of service (DDoS) protection &amp; mitigation services as well as network intrusion prevention solutions.,Biotechnology,Prolexic-Technologies,"$13,900,000","Mar 28, 2011",,,,,,"$8,000,000","Feb  8, 2012","$30,000,000","Jul 25, 2013",,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Clean Technology,m-Via,"$10,600,000","Feb  1, 2011",,,,,,,,"$17,000,000","Jul 18, 2012",,,-,GitHub_funding,,,,,,,,,,,,,,
,Software,Channel-IQ,,,,,,,,"$12,000,000","Nov  7, 2013",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Software,Newforma,,,,,,,,"$8,000,000","Oct  1, 2005","$8,000,000","Apr 20, 2007","$5,100,000","May 18, 2013",Series C,GitHub_funding,,,,,,,,,,,,,,
,Events,Transpera,"$2,300,000","Jan 14, 2010",,,,Unknown,"Jul 23, 2007","$8,250,000","Nov 12, 2008","$9,000,000","Jun  2, 2010",,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Outdoors,The-Clymb,,,,,,"$2,000,000","Jun 29, 2011","$7,000,000","Mar  1, 2012",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,-,Syncbak,,,,,,"$1,600,000","Apr  1, 2010","$7,300,000","Jun 29, 2012","$6,500,000","Apr  3, 2013",,,-,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,Action-Pharma,,,,,,,,,,"$6,300,000","Jul 16, 2010",,,Series C,GitHub_funding,,,,,,,,,,,,,,
,Clean Technology,Idleair,,,,,,,,"$3,000,000","Jun 23, 2011",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
"HoneyBook is on a mission to reorganize huge industries starting with events. We've built a service we're proud of and our customers love. Our entire team cares deeply about design, and we are all passionate about creating the most modern, delightful experience possible. For us there’s only one KPI: do users fall in love with our product?",Marketing,HoneyBook,Unknown,"May  1, 2013",Reorganizing the Events Industry,,,"$10,000,000","Sep 22, 2014","$22,000,000","Mar  5, 2015",,,,,Series D,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,Applied-StemCell,"$2,600,000","Mar 26, 2013",,,,,,"$1,900,000","Mar 19, 2010",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Health Care,Metabolon,"$15,000,000","Jan  6, 2014",,,,,,"$8,000,000","Jan 18, 2006","$6,000,000","Dec  7, 2009","$13,100,000","Aug 29, 2011",-,GitHub_funding,,,,,,,,,,,,,,
,Curated Web,Prime-Sense,,,,,,"$9,000,000","Aug  8, 2006","$20,400,000","Jun  3, 2008",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,,NABsys,"$2,800,000","Jan 27, 2009",,,,"$4,000,000","May  5, 2009","$7,000,000","Mar 10, 2010","$10,000,000","Sep 14, 2011","$35,000,000","Mar 13, 2013",,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,VLST,,,,,,,,"$55,000,000","Jun 16, 2006",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Health Care,Chestnut-Medical,,,,,,,,,,"$7,800,000","Mar 15, 2008",,,Series C,GitHub_funding,,,,,,,,,,,,,,
,Hardware + Software,Lantos-Technologies,"$1,500,000","Jun  4, 2013",,,,"$1,600,000","Sep 16, 2010","$4,099,999","Aug 26, 2011",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Incentives,Marble-Security,"$12,600,000","Feb  5, 2009",,,,,,"$22,000,000","May  3, 2010",,,,,Series C,GitHub_funding,,,,,,,,,,,,,,
"Created by a team of DevOps and SaaS experts (HubSpot, Acquia, VMware, Microsoft, EMC, Oracle, Red Hat) in 2012, Stackdriver’s mission is to improve the performance and availability of applications that run in the cloud. Stackdriver’s monitoring and management service delivers the flexibility and control that DevOps professionals need without the integration complexity and operational overhead associated with disparate open source components and home-grown tools. The result – our clients spend less time on operations and more time on innovation.",Local Based Services,Stackdriver,,,Monitoring and Management for Public Cloud,,,"$5,025,000","Sep 21, 2012","$10,000,000","Sep 18, 2013",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,,5Min-Media,,,,"$300,000","Apr  1, 2007","$5,000,000","Nov  1, 2007","$7,500,000","Jul 23, 2009",,,,,,GitHub_funding,,,,,,,,,,,,,,
,Manufacturing,Woven-Systems,"$4,500,000","Nov 26, 2008",,,,"$10,000,000","Dec  1, 2005","$20,000,000","Sep 25, 2007",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
"Brandwatch is one of the world’s leading platforms for social media monitoring, allowing you to analyse and utilise conversations from across the social web. It is the perfect platform to make sense of the chatter about your brand online. We crawl the internet, archiving social media data from over 70 million sources in 27 languages. Users are then offered the chance to search this data in Brandwatch's web-based interface, both proactively and retroactively for mentions of their brand or keyword, using a sophisticated and powerful query creation process. The app includes an advanced suite of features that allows the data to be chopped and… · More sliced to provide useful insights, through graphing, categorisation, geolocation, metadata and countless other components. Understanding and monitoring your brand is just the start: Brandwatch also lets users engage with the communities they have isolated, responding to, assigning workflow and managing social media mentions with ease.",E-Commerce,Brandwatch,,,The world's best social listening and analytics platform and beyond,Unknown,"Dec  1, 2007","$1,500,000","Nov  1, 2010","$22,000,000","May 24, 2014",,,,,,GitHub_funding,,,,,,,,,,,,,,
"Duetto provides revenue strategy solutions to hotels and casinos that are designed to maximize profits by delivering insights on pricing and demand derived from comprehensive analysis of consumer data.  With products like Edge, Insight, and Gamechanger, Duetto is allowing clients to maximize revenue by using big data analysis in a way that is changing the way hotels and casinos do business.",Small and Medium Businesses,Duetto,"$2,100,000","Apr 19, 2012",,,,"$10,100,000","Dec 11, 2012","$21,000,000","Jul  9, 2014",,,,,-,GitHub_funding,,,,,,,,,,,,,,
,Medical Devices,Teneros,"$8,000,000","Nov 30, 2009",,,,"$7,000,000","Jul  1, 2004","$17,500,000","Mar  1, 2005","$20,000,000","Apr  1, 2006","$40,000,000","Jan  1, 2008",-,GitHub_funding,,,,,,,,,,,,,,
"Dreamlines is a globally expanding startup specialized in selling cruises and on its way to become the #1 cruise portal in the world.Founded in 2012 Dreamlines quickly became the biggest cruise portal in Europe. In 2013 and 2014 Dreamlines opened new offices in Amsterdam, Nice, Sao Paulo and Gold Coast, while launching websites in Russia, Italy, Austria and Switzerland. In 2015 Dreamlines is the fastest growing cruise portal worldwide, leading in the European market and striving to become the global market leader for selling cruises online. With over 400 employees and operations in 9 countries on 4 Continents, Dreamlines serves customers in more… · More countries than any other cruise portal. Dreamlines in-house developed GDS/CRM system is the tailor-made fit for the specific cruise industry demands, improving customer satisfaction while streamlining internal processes globally.",PaaS,DREAMLINES,,,Dreamlines is a globally expanding startup specialized in selling cruises,,,"$2,750,000","Aug  1, 2012","$9,750,000","May  1, 2013","$25,000,000","Nov 17, 2014",,,Series C,GitHub_funding,,,,,,,,,,,,,,
,-,Underground-Solutions,,,,,,,,,,"$30,000,000","Jul 24, 2014",,,Series C,GitHub_funding,,,,,,,,,,,,,,
"Our Company gives more and exciting services to users online and offline worldwide.Our Services are Online E-commerce services,Online Map based Real estate service,Online Hotel booking,Flight booking,Concert ticket booking,Sports match booking service,Online Car and bike Store selling service,Online Payment gateway service,International ad network,Online Media news channel service,Music Label service,Online film hall,Online concert hall and Show hall services and many more with our company.",Computers,Samsoft,,,Exciting Online and offline Services with us worldwide,"$92,345","Jan 24, 2015","$1,520,000","Feb 17, 2015","$100,000","Feb 14, 2015",,,,,,GitHub_funding,,,,,,,,,,,,,,
,Advertising,VisibleBrands,"$975,000","Apr 26, 2013",,,,"$4,600,000","Apr  4, 2013","$2,300,000","Jan 23, 2014",,,,,-,GitHub_funding,,,,,,,,,,,,,,
,3D Technology,Notonthehighstreet,,,,,,,,,,"$11,900,000","Aug  2, 2010",,,,GitHub_funding,,,,,,,,,,,,,,
,Curated Web,JAM-Technologies,,,,,,,,"$11,300,000","Feb 14, 2006",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Clean Technology,Keahole-Solar-Power,,,,,,,,"$9,000,000","Dec 26, 2009","$18,000,000","Apr 23, 2010",,,Series C,GitHub_funding,,,,,,,,,,,,,,
,Clean Technology,Rempex-Pharmaceuticals,,,,,,,,"$67,500,000","Nov  9, 2011",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Software,Proximal-Data,"$1,000,000","Apr 26, 2013",,,,,,"$2,000,000","Apr  1, 2013",,,,,-,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,Elastra,,,,,,"$2,600,000","Aug 15, 2007","$12,000,000","Aug  5, 2008",,,,,-,GitHub_funding,,,,,,,,,,,,,,
conXt is a free online address book that makes it easy to collect and maintain contact information for family and friends.,Manufacturing,ConXtech,,,,"$40,000","Mar  1, 2012",,,"$7,100,000","Dec 11, 2007",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,Open-Xchange,,,,,,"$8,800,000","Jan  1, 2006","$9,000,000","Nov  4, 2008","$20,000,000","Jul 18, 2013",,,,GitHub_funding,,,,,,,,,,,,,,
,-,Tejas-Networks-India,,,,,,,,,,"$15,000,000","Jan  6, 2005",,,Series C,GitHub_funding,,,,,,,,,,,,,,
"As the leading crowdsourcing platform, we help our creative community to improve on its creative skills, work with the biggest global brands and their agencies, and get rewarded for creating high quality content and ideas.",Brand Marketing,eYeka,,,,,,"$5,000,000","Mar  1, 2006",,,"$4,300,000","Jan 15, 2010",,,Series A,GitHub_funding,,,,,,,,,,,,,,
"VOSS Solutions is a software company that offers a unified communications management platform that designs, deploys and operates UC services in the public and/or private cloud.",Software,VOSS-Solutions,,,,,,,,"$12,000,000","Sep 22, 2008","$10,000,000","Feb 14, 2011",,,Series B,GitHub_funding,,,,,,,,,,,,,,
"Emergency Medical Response Service / Emergency Ambulance Service / Medical Triage Service / Health Helplines / Medical Staffing. Ziqitza Health Care Limited has established a state of the art emergency medical response service using computer aided dispatch, automatic vehicle location tracking, advanced medical priority dispatch system and advanced call centre solutions.ZHL is now Asia's Largest 'for profit' emergency ambulance company.",South East Asia,Ziqitza-Health-Care,,,Emergency Ambulance Service in Emerging Markets (Developing Countries),,,"$1,500,000","Mar  8, 2007","$4,250,000","Mar 26, 2010",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Audio,Carnegie-Speech,"$554,800","Mar 28, 2013",,,,"$2,200,000","Oct  5, 2009","$3,400,000","May  4, 2012",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Security,ControlScan,"$387,200","Jan 24, 2014",,,,,,"$3,500,000","Jun 29, 2010",,,,,-,GitHub_funding,,,,,,,,,,,,,,
"Triggit continues to be the most technologically advanced DSP in the market, pushing the envelope in areas from integrated data management through its own DMP, to built-in campaign attribution technology that gives advertisers the first truly accurate measure of overall display media ROI. With access to over 10 billion impressions a day from millions of sites across the web, Triggit uses advanced algorithmic calculations to optimize pricing and bidding, real time buying decisions in under 50ms.",Sales Automation,Triggit,"$6,000,000","May 16, 2013","Build, Run, Measure, and Optimize","$500,000","Jul  1, 2007",,,"$7,400,000","Nov 29, 2012",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
"AeroSat designs and manufactures airborne antennas that deliver broadband and television to aircraft worldwide faster, more reliably and at a lower cost per bit than ever before.",Health Care,AeroSat,"$800,000","Aug  1, 2011",,,,,,,,"$14,000,000","Apr  9, 2008",,,-,GitHub_funding,,,,,,,,,,,,,,
"VisiQuate delivers a SaaS Business Analytics and Big Data platform that helps today’s “data deluged” organization achieve compelling business advantage. Our clients log on to our applications daily to obtain better insight across strategic, tactical and operating indicators.The unique combination of our advanced visualization user interfaces, actionable BI apps, and expert professional services are designed to deliver a 3-5X return on investment within 12 months of client engagement.",Business Analytics,VisiQuate,"$3,400,000","Jun 27, 2013",Enterprise SaaS Business Analytics / Big Data Compnay,,,,,,,"$6,000,000","Jul 21, 2014",,,,GitHub_funding,,,,,,,,,,,,,,
,Education,Think-Through-Learning,,,,,,,,"$5,600,000","Sep  5, 2013",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
"As the largest online retailer of certified diamonds, engagement rings, and fine jewelry, Blue Nile offers outstanding quality, selection, and value.",Video Streaming,Blue-Nile,,,,,,,,"$42,000,000","Apr 17, 2000","$7,000,000","Jul 23, 2001",,,-,GitHub_funding,,,,,,,,,,,,,,
,B2B,GameGround,,,,"$2,000,000","Jan  1, 2008","$4,100,000","Jun  1, 2009","$5,300,000","Nov 17, 2010",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Enterprise Software,Agilyx,"$10,000,000","Oct  1, 2013",,,,,,"$22,000,000","Mar 31, 2011","$25,000,000","Dec 19, 2011",,,Series C,GitHub_funding,,,,,,,,,,,,,,
,Software,Digabit,,,,,,"$3,000,000","Jul 30, 2013","$1,400,000","Aug 12, 2009","$1,200,000","Sep 30, 2010","$1,300,000","Jan  5, 2013",Series B,GitHub_funding,,,,,,,,,,,,,,
,Open Source,Goodguide,"$5,000,000","Aug 26, 2011",,,,"$3,730,000","Jan 19, 2009","$5,500,000","Nov 18, 2009",,,,,Seed,GitHub_funding,,,,,,,,,,,,,,
,Messaging,Fix8,,,,,,"$3,000,000","Oct  1, 2007","$2,000,000","Apr  3, 2008",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
"ClearSlide is the leading sales engagement platform that empowers sales teams to engage customers and close more business. ClearSlide improves customer-facing interactions (web, email, face-to-face) by providing real-time visibility and analytics for both sellers and sales leaders. As a result, customers achieve higher seller productivity, increased sales management effectiveness, and stronger customer-facing messaging. Founded in 2009 and headquartered in San Francisco, ClearSlide serves thousands of customers, including Rackspace, Thomson Reuters, LinkedIn, AOL and Lexis Nexis.",Advertising,ClearSlide,,,Sales Engagement Platform,,,"$11,000,000","Sep 28, 2011","$28,000,000","Aug 28, 2012","$50,000,000","Feb 27, 2014",,,Series C,GitHub_funding,,,,,,,,,,,,,,
,Mobile,Reloaded-Games,"$1,300,000","Sep 13, 2012",,,,,,"$16,000,000","Jun 18, 2007",,,,,Series C,GitHub_funding,,,,,,,,,,,,,,
,Web Development,Azaleos,"$5,000,000","Apr 13, 2009",,,,,,,,"$10,000,000","Nov  6, 2007",,,Series C,GitHub_funding,,,,,,,,,,,,,,
,Advertising,Vivox,"$2,000,000","Jul 13, 2010",,,,"$6,000,000","Sep 19, 2005","$7,800,000","Nov  1, 2007","$6,800,000","Feb  2, 2010",,,Series B,GitHub_funding,,,,,,,,,,,,,,
"Superfish is a developer and provider of an innovative, next generation visual discovery platform that’s out to transform the way images are searched, seen, utilized and shared over the web. Through its cutting-edge, patented technology and pioneering vision, Superfish has developed a cunningly intuitive visual search engine that analyzes images algorithmically, without the need of text tags or human intervention. The company is reinventing image search and focusing on empowering consumers and businesses to experience new ways to engage with and search visual content.  As the social web has exploded and photos play such a large role in people’s lives online,… · More Superfish sees a huge opportunity in solving new visual search problems.Founded in 2006 by Adi Pinhas and Michael Chertok, Superfish is headquartered in Palo Alto, California and is backed by Draper Fisher Jurvetson (DFJ) and Vintage Investment Partners.",Semantic Search,Superfish,,,,,,,,"$5,300,000","Jan  5, 2009","$4,000,000","Nov 11, 2010","$10,000,000","Aug  1, 2013",Series B,GitHub_funding,,,,,,,,,,,,,,
,-,Embotics,,,,,,,,"$4,000,000","Dec 10, 2008",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Hardware + Software,Avalon-Clones,,,,,,,,"$3,000,000","Jun 23, 2013",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Nanotechnology,Surrey-Nanosystems,"$4,099,999","Aug 23, 2009",,,,,,,,"$7,000,000","Mar 13, 2012",,,-,GitHub_funding,,,,,,,,,,,,,,
"HC3 seamlessly integrates servers, virtualization and storage into a single, easy-to-use and highly scalable platform.",Virtualization,Scale-Computing,Unknown,"Aug 18, 2014",Virtualization Made Easy,,,"$3,000,000","May 29, 2009","$9,000,000","Mar  2, 2010","$17,000,000","Nov 23, 2010","$12,000,000","Oct 24, 2012",,GitHub_funding,,,,,,,,,,,,,,
"GuideSpark has led the transformation of HR communication and training delivery methods by leveraging the latest web trends and technologies like cloud and web services, online video and more. GuideSpark helps companies revolutionize how HR communications and training solutions are delivered to employees.",-,Guidespark,,,,,,"$5,000,000","Aug 27, 2013","$15,000,000","Mar  5, 2014",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Analytics,Vidient,,,,,,,,"$12,000,000","Oct 18, 2005",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Storage,Starboard-Storage-Systems,,,,,,,,"$13,000,000","May 13, 2012",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Analytics,ScrollMotion,,,,"$500,000","Dec 18, 2009","$1,900,000","Nov 12, 2010","$7,000,000","Oct  7, 2011","$18,900,000","Oct 15, 2012","$5,000,000","Dec 27, 2013",-,GitHub_funding,,,,,,,,,,,,,,
,Hardware + Software,NxThera,,,,,,,,"$21,600,000","Oct  4, 2011","$25,000,000","Feb 26, 2014",,,-,GitHub_funding,,,,,,,,,,,,,,
,Mobile Software Tools,Sungy-Mobile,"$20,000,000","Nov 14, 2013",,,,,,,,Unknown,"Jul  1, 2010",,,Series C,GitHub_funding,,,,,,,,,,,,,,
,K-12 Education,BelAir-Networks,,,,,,"$2,000,000","Mar 23, 2004",,,"$20,000,000","Oct 26, 2005","$21,400,000","Oct  2, 2006",Series B,GitHub_funding,,,,,,,,,,,,,,
,Finance,LendKey-Technologies,"$1,000,000","Apr  9, 2012",,"$500,000","Oct  1, 2007","$6,500,000","Jan 25, 2010","$12,500,000","Aug  7, 2013",,,,,-,GitHub_funding,,,,,,,,,,,,,,
"SaaS solution to measure, manage, and automate sales and service calls. Call tracking, voice broadcasting, hosted IVR, virtual call centers, and more.",-,Ifbyphone,"$30,000,000","Sep 11, 2014",,"$2,000,000","Dec 13, 2011","$3,000,000","Jul  5, 2007","$8,000,000","Dec 28, 2010",,,"$9,000,000","Jan  9, 2014",Seed,GitHub_funding,,,,,,,,,,,,,,
,,Federated-Media,,,,"$750,000","Jun 16, 2005","$2,200,000","Mar 15, 2006","$4,500,000","Aug  1, 2007","$50,000,000","Apr  1, 2008",,,,GitHub_funding,,,,,,,,,,,,,,
"Musician &amp; Band Promotional Network.  Music, Videos, Events &amp; Viral Promotion Services for Artists at Buzzwire.com. Upload and Watch Band Videos for free with no pre-roll ads.",Mobile,Buzzwire,,,,,,"$4,000,000","Jul  1, 2007","$8,000,000","Dec  1, 2007",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
