company_name,funding_total_usd,funding_type,category,city,founded_year,data_source
DigitalApp1,4714886,Seed,Biotech,Oakland,2024,Generated
SmartTech,129558177,Series D,EdTech,South San Francisco,2021,Generated
MetaWorks,4660747,Seed,IoT,San Francisco,2022,Generated
Atlas AI13,19730634,Series B,IoT,Oakland,2023,Generated
CloudLabs,59609563,Series C,AI,San Mateo,2024,Generated
SmartAI,41403975,Series B,Data Analytics,Oakland,2018,Generated
DigitalNetworks,113896512,Series D,AgTech,Menlo Park,2022,Generated
Apex Works,41549154,Series B,AgTech,Palo Alto,2020,Generated
TechSolutions7,76631279,Series C,CleanTech,San Jose,2022,Generated
AISolutions,3773351,Seed,AI,Redwood City,2021,Generated
Zenith Hub60,198888089,Series D,FinTech,Menlo Park,2023,Generated
Quantum Works,138544598,Series D,Data Analytics,Palo Alto,2021,Generated
DigitalLabs73,1548830,Seed,AgTech,Redwood City,2019,Generated
CloudLabs,487209,Pre-seed,Enterprise Software,Sunnyvale,2021,Generated
DataPlatform,35921966,Series B,HealthTech,Oakland,2022,Generated
Aether Works20,184396682,Series D,E-commerce,San Francisco,2018,Generated
NetLabs12,12910528,Series A,SaaS,San Francisco,2024,Generated
MetaAI19,3578406,Seed,HealthTech,Oakland,2018,Generated
NetApp49,112243658,Series D,Cryptocurrency,San Francisco,2021,Generated
MetaAI,365271268,Series E,PropTech,South San Francisco,2024,Generated
NetNetworks,3523516,Seed,Hardware,Berkeley,2021,Generated
DataSystems,15357532,Series A,EdTech,San Francisco,2023,Generated
CloudApp,430055008,Series E,AR/VR,Berkeley,2020,Generated
DataWorks,491716,Pre-seed,MarTech,Berkeley,2018,Generated
NetPlatform,323636566,Series E,IoT,Mountain View,2022,Generated
AIAI,10094608,Series A,Cryptocurrency,Sunnyvale,2018,Generated
Helios Networks72,3125259,Seed,AgTech,San Jose,2024,Generated
QuantumSolutions,757906,Pre-seed,AR/VR,San Jose,2024,Generated
AIApp,800856,Pre-seed,Robotics,San Mateo,2018,Generated
SmartSolutions,7223943,Series A,Consumer Apps,San Francisco,2023,Generated
SmartSolutions,34004716,Series B,SaaS,South San Francisco,2018,Generated
DataTech,42715749,Series B,CleanTech,San Mateo,2020,Generated
Atlas Works4,111751,Pre-seed,Data Analytics,San Jose,2019,Generated
QuantumWorks,16636996,Series A,DevOps,Oakland,2018,Generated
CloudApp,433330233,Series E,CleanTech,San Mateo,2021,Generated
CloudTech,2914844,Seed,DevOps,San Jose,2020,Generated
QuantumWorks84,9956339,Series A,CleanTech,San Francisco,2019,Generated
NetWorks,263622564,Series E,AI,Oakland,2021,Generated
NetWorks,189991,Pre-seed,Hardware,Palo Alto,2018,Generated
CyberSystems,730461,Pre-seed,Enterprise Software,Menlo Park,2022,Generated
DataPlatform,237244,Pre-seed,EdTech,Redwood City,2018,Generated
CyberNetworks40,74640196,Series C,SaaS,San Francisco,2020,Generated
Nexus AI,28886533,Series B,PropTech,Oakland,2023,Generated
AISolutions62,96082034,Series C,Consumer Apps,San Francisco,2024,Generated
Stellar Platform4,161951080,Series D,E-commerce,Sunnyvale,2024,Generated
TechPlatform28,182654460,Series D,FinTech,Menlo Park,2022,Generated
Orion Hub,78494912,Series D,Enterprise Software,Oakland,2024,Generated
Zephyr AI,136705290,Series D,EdTech,San Jose,2023,Generated
DataAI,164425432,Series E,Hardware,San Francisco,2021,Generated
TechWorks,179763469,Series D,Biotech,Oakland,2021,Generated
Zephyr Tech,23996655,Series B,Robotics,South San Francisco,2024,Generated
NetHub,3213133,Seed,AR/VR,Berkeley,2021,Generated
DigitalSystems,955184,Pre-seed,MarTech,Menlo Park,2021,Generated
DigitalPlatform50,32995513,Series B,AR/VR,Redwood City,2020,Generated
DataLabs,1634745,Seed,MarTech,Oakland,2023,Generated
CyberNetworks89,950844,Pre-seed,Blockchain,Berkeley,2019,Generated
DigitalTech,7810665,Series A,Cryptocurrency,South San Francisco,2022,Generated
Apex Labs,464168,Pre-seed,Robotics,Sunnyvale,2023,Generated
SmartNetworks8,118362935,Series E,AR/VR,Palo Alto,2023,Generated
AILabs91,3826899,Seed,Biotech,Oakland,2020,Generated
MetaApp9,107215384,Series D,HealthTech,San Jose,2018,Generated
CloudLabs,237996072,Series E,Enterprise Software,San Francisco,2024,Generated
Quantum Hub,3887579,Seed,AgTech,Menlo Park,2021,Generated
Atlas Tech97,580593,Pre-seed,E-commerce,Redwood City,2020,Generated
Aether Systems96,108903854,Series D,AR/VR,San Jose,2022,Generated
MetaLabs56,308597121,Series E,FinTech,San Jose,2019,Generated
CloudLabs,565972,Pre-seed,Blockchain,Oakland,2020,Generated
QuantumTech62,57427319,Series C,HealthTech,Palo Alto,2018,Generated
CloudTech,52470727,Series C,PropTech,Mountain View,2024,Generated
NetApp88,3650201,Seed,AR/VR,Menlo Park,2023,Generated
DigitalTech35,29062153,Series B,MarTech,Sunnyvale,2023,Generated
Aegis Labs,18221922,Series A,IoT,San Jose,2020,Generated
TechTech76,850087,Pre-seed,PropTech,Mountain View,2023,Generated
Helios Hub,348507,Pre-seed,SaaS,Palo Alto,2022,Generated
Luminar Hub,311319254,Series E,AgTech,Menlo Park,2018,Generated
CloudWorks,83795573,Series C,Consumer Apps,Menlo Park,2022,Generated
Orion Networks,2451666,Seed,HealthTech,Oakland,2021,Generated
QuantumApp,95330769,Series C,Data Analytics,Palo Alto,2022,Generated
MetaNetworks73,2055553,Seed,SaaS,Sunnyvale,2020,Generated
Aegis Systems,156628198,Series D,AgTech,San Francisco,2023,Generated
Aegis Networks,102013962,Series D,E-commerce,San Mateo,2024,Generated
SmartAI,233628401,Series E,Cybersecurity,Redwood City,2024,Generated
DigitalSystems67,7033660,Series A,AI,Sunnyvale,2019,Generated
SmartLabs,25065918,Series B,Robotics,San Mateo,2021,Generated
DataApp,15285515,Series A,SaaS,South San Francisco,2022,Generated
NetHub,35714423,Series B,DevOps,Oakland,2023,Generated
CloudSystems,40973604,Series C,Blockchain,Palo Alto,2020,Generated
QuantumSystems,24847963,Series B,E-commerce,Mountain View,2019,Generated
NetWorks,19376814,Series A,HealthTech,Sunnyvale,2023,Generated
NetHub,49789538,Series B,HealthTech,Menlo Park,2023,Generated
CloudAI,223112094,Series E,Biotech,Redwood City,2020,Generated
Atlas App,10531828,Series A,Gaming,South San Francisco,2020,Generated
AISystems62,3278389,Seed,CleanTech,San Mateo,2020,Generated
Atlas App,14670415,Series A,DevOps,South San Francisco,2023,Generated
Quantum App,316614,Pre-seed,Biotech,Sunnyvale,2018,Generated
TechHub,3391468,Seed,AI,Redwood City,2018,Generated
QuantumSolutions,4169666,Seed,PropTech,San Mateo,2021,Generated
MetaAI,32415238,Series B,AI,South San Francisco,2020,Generated
Aegis Tech,590957,Pre-seed,Consumer Apps,Menlo Park,2024,Generated
Zephyr Hub,123367639,Series D,IoT,Redwood City,2022,Generated
CyberSystems50,84174344,Series C,Cryptocurrency,Berkeley,2019,Generated
Orion App,264800060,Series E,AR/VR,Berkeley,2019,Generated
Atlas Works,30647222,Series B,FinTech,San Mateo,2024,Generated
DigitalWorks,148080717,Series E,DevOps,Oakland,2024,Generated
NetPlatform58,96041623,Series C,E-commerce,South San Francisco,2022,Generated
Cipher Solutions,3464736,Seed,IoT,Mountain View,2024,Generated
MetaWorks,17706397,Series A,HealthTech,Berkeley,2019,Generated
DataNetworks,41418104,Series B,AI,Oakland,2023,Generated
CyberHub,1148328,Seed,Hardware,South San Francisco,2024,Generated
Prism Labs,554913,Pre-seed,MarTech,Menlo Park,2019,Generated
DigitalWorks,34940319,Series C,Cybersecurity,San Jose,2022,Generated
NetSolutions40,19438738,Series B,DevOps,San Francisco,2022,Generated
SmartApp,13521033,Series A,Hardware,Berkeley,2024,Generated
Luminar Platform66,16535594,Series A,AgTech,Menlo Park,2024,Generated
Helios App93,46550038,Series B,IoT,Redwood City,2018,Generated
SmartHub,55332146,Series C,E-commerce,Oakland,2023,Generated
AIHub,11320391,Series A,Gaming,San Jose,2021,Generated
AIApp,12567604,Series A,HealthTech,San Jose,2020,Generated
Apex Platform1,2151456,Seed,SaaS,Redwood City,2018,Generated
Atlas Tech,590287,Pre-seed,Robotics,Berkeley,2023,Generated
TechWorks15,183688916,Series D,Data Analytics,Berkeley,2020,Generated
AINetworks54,184996820,Series E,Cryptocurrency,Berkeley,2021,Generated
Elysium App,3674831,Seed,AR/VR,Oakland,2023,Generated
SmartTech21,5102759,Series A,MarTech,Berkeley,2022,Generated
NetWorks,2043499,Seed,PropTech,Oakland,2020,Generated
Apex AI,41536276,Series C,Robotics,Palo Alto,2018,Generated
CyberHub,116204440,Series D,PropTech,San Francisco,2018,Generated
CyberLabs,39010222,Series C,EdTech,South San Francisco,2020,Generated
Atlas Platform,282629668,Series E,Cybersecurity,Palo Alto,2022,Generated
QuantumHub11,172982728,Series D,Biotech,Oakland,2020,Generated
MetaApp55,70129452,Series C,HealthTech,Berkeley,2020,Generated
SmartHub,75721020,Series D,DevOps,Redwood City,2024,Generated
DataSolutions42,12133576,Series A,HealthTech,Menlo Park,2020,Generated
TechWorks16,149619261,Series D,HealthTech,Palo Alto,2020,Generated
QuantumSolutions81,54409134,Series C,Data Analytics,San Mateo,2023,Generated
CyberHub,62180718,Series C,EdTech,San Francisco,2024,Generated
Stellar Systems7,58277893,Series C,Hardware,Mountain View,2020,Generated
NetAI92,745399,Pre-seed,Biotech,Mountain View,2021,Generated
Aegis Works,7454139,Series A,SaaS,Berkeley,2022,Generated
QuantumTech,12620291,Series A,AR/VR,Mountain View,2019,Generated
AIAI,200779,Pre-seed,SaaS,Berkeley,2021,Generated
Cipher Tech,40377753,Series C,HealthTech,Berkeley,2018,Generated
DigitalApp,103323060,Series D,PropTech,San Mateo,2019,Generated
TechSolutions84,39584371,Series B,DevOps,Menlo Park,2022,Generated
NetSystems18,77375191,Series C,IoT,San Jose,2023,Generated
Zephyr Platform,442247548,Series E,Data Analytics,Sunnyvale,2021,Generated
MetaApp14,189094281,Series E,Cybersecurity,San Mateo,2020,Generated
AILabs,10684773,Series A,SaaS,Mountain View,2024,Generated
NetApp,519790,Pre-seed,MarTech,Mountain View,2021,Generated
TechNetworks,28396529,Series B,Cybersecurity,Berkeley,2024,Generated
Orion Labs,91499114,Series C,Data Analytics,South San Francisco,2022,Generated
MetaHub47,36706886,Series B,PropTech,Berkeley,2024,Generated
Aether Works74,1454877,Seed,DevOps,San Francisco,2022,Generated
DigitalTech,115786523,Series E,SaaS,Sunnyvale,2018,Generated
Aegis AI,45384046,Series C,Consumer Apps,Redwood City,2022,Generated
TechAI,80088932,Series D,FinTech,Menlo Park,2022,Generated
Prism Systems,748745,Pre-seed,AR/VR,Mountain View,2022,Generated
DataSolutions,87225909,Series C,Gaming,Sunnyvale,2020,Generated
CloudApp,175718164,Series E,MarTech,Sunnyvale,2018,Generated
Elysium Hub,304065,Pre-seed,AgTech,San Jose,2024,Generated
Zenith Hub,8905269,Series A,Consumer Apps,San Jose,2024,Generated
CloudLabs33,143647025,Series D,Cryptocurrency,Sunnyvale,2020,Generated
QuantumTech,43882843,Series B,PropTech,Berkeley,2019,Generated
Zenith Networks,20553699,Series B,Biotech,Palo Alto,2018,Generated
Zenith AI,628020,Pre-seed,AgTech,Menlo Park,2024,Generated
CloudNetworks,146764885,Series D,Enterprise Software,Redwood City,2018,Generated
TechHub96,286940,Pre-seed,Blockchain,Oakland,2019,Generated
CloudApp,64475526,Series C,Enterprise Software,Palo Alto,2023,Generated
Cipher AI86,137590241,Series D,E-commerce,Mountain View,2021,Generated
NetTech,86318673,Series C,HealthTech,San Francisco,2021,Generated
Cipher Tech,11554430,Series A,Biotech,Menlo Park,2019,Generated
CloudSolutions3,426627,Pre-seed,Cybersecurity,Mountain View,2023,Generated
CloudApp68,15004393,Series A,IoT,Mountain View,2022,Generated
MetaSolutions,697426,Pre-seed,CleanTech,Berkeley,2024,Generated
Luminar AI,40936378,Series C,Cybersecurity,Oakland,2024,Generated
SmartAI12,15481080,Series B,Cloud Infrastructure,San Francisco,2023,Generated
CyberLabs72,48552359,Series B,FinTech,San Francisco,2018,Generated
Atlas AI,31055592,Series C,Enterprise Software,Mountain View,2022,Generated
NetSolutions,303153,Pre-seed,Gaming,San Jose,2019,Generated
Apex Works,544516,Pre-seed,Cryptocurrency,Palo Alto,2021,Generated
CyberLabs,10583298,Series A,Biotech,San Jose,2024,Generated
DigitalSystems,121023400,Series D,PropTech,Sunnyvale,2024,Generated
MetaNetworks,186213,Pre-seed,Gaming,Menlo Park,2024,Generated
NetPlatform,977449,Pre-seed,IoT,Berkeley,2020,Generated
DataWorks,31499150,Series B,Gaming,San Jose,2023,Generated
QuantumNetworks68,11714064,Series A,SaaS,Sunnyvale,2018,Generated
DataWorks89,134265852,Series D,MarTech,Redwood City,2023,Generated
AIPlatform,35426091,Series B,Cryptocurrency,South San Francisco,2022,Generated
CyberHub,10280968,Series A,CleanTech,Berkeley,2024,Generated
NetAI63,396199,Pre-seed,EdTech,Palo Alto,2020,Generated
MetaWorks,23094453,Series B,Cryptocurrency,Sunnyvale,2024,Generated
Aegis Platform37,271166,Pre-seed,Cryptocurrency,Sunnyvale,2020,Generated
Nexus Platform,36204744,Series B,Cryptocurrency,Berkeley,2021,Generated
DigitalSystems28,149739322,Series D,IoT,Mountain View,2024,Generated
QuantumSolutions59,88694023,Series C,Enterprise Software,San Mateo,2024,Generated
NetTech,615365,Pre-seed,FinTech,San Jose,2024,Generated
DataSystems,146616787,Series D,DevOps,Oakland,2023,Generated
Aether Systems,332041036,Series E,Data Analytics,Berkeley,2018,Generated
SmartSystems,4295633,Seed,Blockchain,Oakland,2019,Generated
Nexus Tech,33596889,Series B,Cryptocurrency,Berkeley,2024,Generated
Prism App,2488447,Seed,AR/VR,San Mateo,2024,Generated
QuantumSolutions24,26177581,Series B,Enterprise Software,Sunnyvale,2023,Generated
SmartHub,14770673,Series A,E-commerce,Oakland,2022,Generated
CloudHub,16491033,Series A,Cryptocurrency,South San Francisco,2024,Generated
Luminar Labs,3992936,Seed,Blockchain,Palo Alto,2024,Generated
Helios Networks,18044242,Series A,FinTech,Redwood City,2020,Generated
AIPlatform,58632304,Series C,SaaS,Berkeley,2023,Generated
CyberAI,17610285,Series A,Gaming,Oakland,2024,Generated
TechPlatform,39535969,Series B,FinTech,Sunnyvale,2022,Generated
TechPlatform,72049927,Series C,Consumer Apps,Sunnyvale,2022,Generated
AISystems,319858604,Series E,AI,San Francisco,2022,Generated
Zenith Systems,140327103,Series D,Cryptocurrency,San Francisco,2019,Generated
AISolutions3,15547378,Series A,Gaming,Sunnyvale,2021,Generated
Aether Platform,40614204,Series B,Cryptocurrency,San Francisco,2019,Generated
DataHub,78404686,Series C,AI,San Francisco,2022,Generated
Zephyr Solutions92,8654031,Series A,IoT,Menlo Park,2022,Generated
CyberNetworks,19465978,Series A,DevOps,Redwood City,2024,Generated
CyberWorks,52423226,Series C,MarTech,Palo Alto,2024,Generated
DigitalWorks26,33991449,Series C,Blockchain,Redwood City,2022,Generated
Cipher Platform,154249021,Series D,Robotics,South San Francisco,2020,Generated
CyberWorks,47409749,Series B,CleanTech,San Mateo,2024,Generated
DigitalNetworks,35123556,Series C,AI,Berkeley,2020,Generated
Helios Networks,2969662,Seed,Consumer Apps,South San Francisco,2020,Generated
MetaSystems,3863153,Seed,CleanTech,Menlo Park,2021,Generated
MetaApp36,72009367,Series C,Cryptocurrency,Palo Alto,2021,Generated
QuantumPlatform,3070843,Seed,IoT,San Mateo,2024,Generated
Atlas Platform,9377585,Series A,Blockchain,Berkeley,2023,Generated
DataTech,129302138,Series D,E-commerce,Redwood City,2024,Generated
QuantumNetworks,114032823,Series E,SaaS,San Mateo,2021,Generated
AIAI,5454126,Series A,HealthTech,Menlo Park,2022,Generated
AIHub,159175400,Series D,IoT,Berkeley,2020,Generated
Orion Networks57,23802371,Series B,E-commerce,Sunnyvale,2018,Generated
DataApp30,15788188,Series A,DevOps,San Francisco,2021,Generated
CyberTech42,3788483,Seed,Enterprise Software,San Jose,2022,Generated
QuantumTech,320721574,Series E,Consumer Apps,San Mateo,2022,Generated
DataLabs,1344648,Seed,DevOps,Menlo Park,2022,Generated
DataTech,33280407,Series B,Blockchain,Oakland,2018,Generated
Aether Systems,47110789,Series B,EdTech,Oakland,2023,Generated
Aether App34,16706966,Series A,E-commerce,San Mateo,2019,Generated
CyberLabs,784969,Pre-seed,FinTech,San Jose,2018,Generated
Orion AI,277972034,Series E,AgTech,Berkeley,2019,Generated
DigitalAI,17413244,Series A,AR/VR,Redwood City,2024,Generated
NetTech,56540349,Series C,AgTech,San Jose,2019,Generated
Helios Hub,2756706,Seed,AgTech,Sunnyvale,2021,Generated
Prism Platform26,158667218,Series D,Cloud Infrastructure,Redwood City,2020,Generated
CloudWorks22,17580460,Series A,MarTech,San Jose,2023,Generated
Quantum AI23,2219139,Seed,E-commerce,San Jose,2020,Generated
Elysium Networks,111250456,Series D,Consumer Apps,Berkeley,2020,Generated
TechAI,3835155,Seed,DevOps,San Jose,2024,Generated
Helios AI19,33871549,Series C,Gaming,Oakland,2022,Generated
AISolutions,330206216,Series E,Enterprise Software,San Mateo,2019,Generated
QuantumSystems,4378973,Seed,MarTech,Menlo Park,2019,Generated
Zenith Tech,99159971,Series C,Gaming,San Jose,2019,Generated
QuantumNetworks48,465755541,Series E,Blockchain,Oakland,2018,Generated
CyberPlatform,25978469,Series B,PropTech,San Mateo,2024,Generated
CyberNetworks44,171156288,Series D,Data Analytics,South San Francisco,2018,Generated
Aegis Works,156883972,Series D,Consumer Apps,Berkeley,2024,Generated
DataNetworks16,281163,Pre-seed,E-commerce,South San Francisco,2018,Generated
TechTech21,2960733,Seed,PropTech,Palo Alto,2020,Generated
SmartHub,56465356,Series C,MarTech,Berkeley,2022,Generated
DigitalHub60,395943341,Series E,FinTech,Sunnyvale,2018,Generated
MetaLabs47,2229836,Seed,CleanTech,San Francisco,2021,Generated
Cipher Networks,354422348,Series E,Cryptocurrency,Oakland,2018,Generated
Zephyr Systems,109120512,Series D,Gaming,Menlo Park,2021,Generated
Nexus Labs,717867,Pre-seed,AR/VR,Oakland,2021,Generated
QuantumApp3,12359270,Series A,Consumer Apps,Menlo Park,2023,Generated
SmartNetworks28,176578914,Series D,Gaming,Berkeley,2022,Generated
Zephyr App,62883539,Series C,Cloud Infrastructure,Mountain View,2018,Generated
AISolutions,1274022,Seed,SaaS,San Mateo,2019,Generated
MetaHub,436702,Pre-seed,E-commerce,Palo Alto,2022,Generated
Aether Tech12,23983019,Series B,SaaS,San Jose,2022,Generated
Prism Systems,203617887,Series E,AgTech,Sunnyvale,2023,Generated
Zephyr Systems,26820331,Series B,PropTech,Mountain View,2019,Generated
MetaNetworks,47015256,Series B,HealthTech,San Mateo,2024,Generated
Cipher AI,164659367,Series D,SaaS,San Mateo,2021,Generated
MetaNetworks,81337472,Series C,AgTech,San Francisco,2021,Generated
SmartTech,42254672,Series B,FinTech,San Mateo,2021,Generated
DigitalSystems,10033974,Series A,AI,Sunnyvale,2023,Generated
Apex Systems33,29167945,Series B,E-commerce,Menlo Park,2020,Generated
DataSolutions68,837241,Pre-seed,CleanTech,Menlo Park,2019,Generated
CyberPlatform,2674165,Seed,AR/VR,Redwood City,2020,Generated
Orion Tech,3270717,Seed,Gaming,San Jose,2020,Generated
CyberHub,468757362,Series E,Cryptocurrency,Mountain View,2024,Generated
TechWorks,140044893,Series E,EdTech,South San Francisco,2024,Generated
CyberWorks,7454628,Series A,Gaming,Menlo Park,2021,Generated
Orion App,40874983,Series C,AgTech,Sunnyvale,2018,Generated
SmartAI,290231752,Series E,Hardware,Oakland,2022,Generated
AILabs,186120845,Series D,IoT,San Francisco,2023,Generated
MetaWorks24,16881050,Series B,E-commerce,Menlo Park,2021,Generated
Helios Systems,37185366,Series B,EdTech,Menlo Park,2022,Generated
QuantumApp,19290845,Series A,MarTech,Sunnyvale,2023,Generated
SmartPlatform29,49955952,Series C,MarTech,Sunnyvale,2020,Generated
AILabs,82089251,Series D,AR/VR,San Jose,2024,Generated
AIApp,88642094,Series C,MarTech,Redwood City,2022,Generated
NetSystems,627060,Pre-seed,AI,Oakland,2022,Generated
DataNetworks,88969491,Series C,Hardware,San Mateo,2023,Generated
DataApp12,85979099,Series D,Cryptocurrency,Palo Alto,2020,Generated
NetWorks,113578473,Series D,FinTech,Mountain View,2020,Generated
Luminar App,717768,Pre-seed,FinTech,Sunnyvale,2018,Generated
CyberLabs,167802,Pre-seed,Data Analytics,Redwood City,2018,Generated
NetHub,3038870,Seed,Cloud Infrastructure,Mountain View,2024,Generated
AISystems14,17792167,Series A,CleanTech,Berkeley,2021,Generated
CyberPlatform,14453947,Series A,PropTech,South San Francisco,2018,Generated
Stellar Platform57,172141471,Series D,Cybersecurity,Redwood City,2023,Generated
SmartNetworks,1113439,Seed,AR/VR,San Francisco,2020,Generated
Nexus Labs,38301604,Series B,Biotech,San Jose,2018,Generated
AIHub37,195599334,Series D,MarTech,Redwood City,2021,Generated
Luminar App,7957367,Series A,DevOps,San Jose,2021,Generated
Zenith Works,195219649,Series D,HealthTech,Berkeley,2022,Generated
NetLabs67,81280332,Series C,Biotech,Berkeley,2022,Generated
TechNetworks,56686265,Series C,Enterprise Software,San Francisco,2019,Generated
Zephyr Networks,77525573,Series D,HealthTech,San Jose,2021,Generated
SmartApp,64979115,Series C,Biotech,South San Francisco,2024,Generated
QuantumLabs,6327492,Series A,FinTech,Redwood City,2022,Generated
