name,website,category,location,funding_amount,funding_round,date,source
Waterlily,www.waterlily.com,"Healthcare, Insurance, Family",Bay Area,"$7,000,000",Seed,Feb 2025,Growth List
Tandem Space,tandem.space,Aerospace,Bay Area,"$6,100,000",Seed,Feb 2025,Growth List
Riot,tryriot.com,Artificial Intelligence,Bay Area,"$30,000,000",Series B,Feb 2025,Growth List
Response,www.tryresponse.com,Artificial Intelligence,Bay Area,"$4,160,000",Seed,Feb 2025,Growth List
TrueFoundry,truefoundry.com,Artificial Intelligence,Bay Area,"$19,000,000",Series A,Feb 2025,Growth List
Ivo,www.ivo.ai,"Artificial Intelligence, Marketing",Bay Area,"$16,000,000",Series A,Feb 2025,Growth List
Warmly,warmly.ai,"Artificial Intelligence, Sales",Bay Area,"$6,000,000",Series A,Feb 2025,Growth List
Plume Network,www.plumenetwork.xyz,Blockchain,Bay Area,,Venture - Series Unknown,Feb 2025,Growth List
Monograph,monograph.com,"Cloud Computing, Architecture",Bay Area,"$20,000,000",Series B,Feb 2025,Growth List
Trace.Space,trace.space,"Cloud Computing, Artificial Intelligence",Bay Area,"$4,000,000",Seed,Feb 2025,Growth List
Semgrep,semgrep.dev,"Cyber Security, Analytics",Bay Area,"$100,000,000",Series D,Feb 2025,Growth List
Converge,www.runconverge.com,"Data, Marketing",Bay Area,"$5,600,000",Venture - Series Unknown,Feb 2025,Growth List
Archive,www.archiveresale.com,"E-commerce, Fashion, Marketplace",Bay Area,"$30,000,000",Series B,Feb 2025,Growth List
TaxGPT,www.taxgpt.com,"Finance, Artificial Intelligence",Bay Area,"$4,600,000",Seed,Feb 2025,Growth List
Sotira,sotira.co,"FinTech, Finance",Bay Area,"$2,000,000",Pre-Seed,Feb 2025,Growth List
Little Otter,www.littleotterhealth.com,"Healthcare, Mental Health",Bay Area,"$9,500,000",Venture - Series Unknown,Feb 2025,Growth List
Fay,www.faynutrition.com,"Healthcare, Wellness, Nutrition and Supplements",Bay Area,"$50,000,000",Series B,Feb 2025,Growth List
Tyba,www.tyba.ai,"Human Resources, Recruiting, Artificial Intelligence",Bay Area,"$13,900,000",Series A,Feb 2025,Growth List
Mixedbread,mixedbread.ai,Artificial Intelligence,Bay Area,"$5,500,000",Seed,Feb 2025,Growth List
Fal,www.fal.ai,Artificial Intelligence,Bay Area,"$49,000,000",Series B,Feb 2025,Growth List
Pinkfish,www.pinkfish.ai,Artificial Intelligence,Bay Area,"$7,600,000",Pre-Seed,Feb 2025,Growth List
Future AGI,futureagi.com,Artificial Intelligence,Bay Area,"$1,600,000",Pre-Seed,Feb 2025,Growth List
Harvey,harvey.ai,"Artificial Intelligence, Legal",Bay Area,"$300,000,000",Series D,Feb 2025,Growth List
Tofu,www.tofuhq.com,Cloud Computing,Bay Area,"$12,000,000",Series A,Feb 2025,Growth List
Hydro Wind Energy,www.hw.energy,Energy,Bay Area,"$82,660",Equity Crowdfunding,Feb 2025,Growth List
Limited,limitedapp.com,Finance,Bay Area,"$3,000,000",Pre-Seed,Feb 2025,Growth List
Comulate,www.comulate.com,"Finance, Analytics",Bay Area,"$20,000,000",Series B,Feb 2025,Growth List
museLIVE Inc.,quabble.app,Gaming,Bay Area,,Seed,Feb 2025,Growth List
Candid Health,www.joincandidhealth.com,Healthcare,Bay Area,"$52,500,000",Series C,Feb 2025,Growth List
Junevity,www.junevity.com,"Healthcare, Wellness",Bay Area,"$10,000,000",Seed,Feb 2025,Growth List
Human,joinhuman.com,Human Resources,Bay Area,"$7,300,000",Pre-Seed,Feb 2025,Growth List
