company_name,industry,location,data_source,investor,mention_count
Machine & Deep Learning,,,VC Portfolio (alternative method),Andreessen Horowitz,
"Product, Design & Engineering",,,VC Portfolio (alternative method),Andreessen Horowitz,
Education,,,VC Portfolio (alternative method),Andreessen Horowitz,
Marketplaces,,,VC Portfolio (alternative method),Andreessen Horowitz,
Web3,,,VC Portfolio (alternative method),Andreessen Horowitz,
Go To Top,,,VC Portfolio (alternative method),Andreessen Horowitz,
Terms Of Use,,,VC Portfolio (alternative method),Andreessen Horowitz,
Conduct,,,VC Portfolio (alternative method),Andreessen Horowitz,
Privacy Policy,,,VC Portfolio (alternative method),Andreessen Horowitz,
Disclosures,,,VC Portfolio (alternative method),Andreessen Horowitz,
"Home

H",,,VC Portfolio (alternative method),Andreessen Horowitz,
Cookie Policy,,,VC Portfolio (alternative method),Andreessen Horowitz,
Accept,,,VC Portfolio (alternative method),Andreessen Horowitz,
Decline,,,VC Portfolio (alternative method),Andreessen Horowitz,
Skip To Main Content,,,VC Portfolio (alternative method),Sequoia Capital,
Our Founders,,,VC Portfolio (alternative method),Sequoia Capital,
Our Companies,,,VC Portfolio (alternative method),Sequoia Capital,
Our Team,,,VC Portfolio (alternative method),Sequoia Capital,
Stories,,,VC Portfolio (alternative method),Sequoia Capital,
Company Design,,,VC Portfolio (alternative method),Sequoia Capital,
Spotlights,,,VC Portfolio (alternative method),Sequoia Capital,
"Nvidia
Nvidia Is A Pioneer In The Art And Science Of Visual Computing.",,,VC Portfolio (alternative method),Sequoia Capital,
"Reddit
Reddit Is The Internet’S Leading Source Of Interest-Based Content.",,,VC Portfolio (alternative method),Sequoia Capital,
"Instacart
Instacart Facilitates Instant Grocery Delivery From Local Stores.",,,VC Portfolio (alternative method),Sequoia Capital,
"Youtube
Youtube, Now Part Of Google, Is The World'S Leading Video-Sharing Service.",,,VC Portfolio (alternative method),Sequoia Capital,
"Apple
Apple Transforms How Humans Interact With Technologies With Products Like The Iphone, Ipod, Ipad, Mac And Watch.",,,VC Portfolio (alternative method),Sequoia Capital,
"Dropbox
Dropbox Is A Collaboration Platform Transforming The Way Teams Work Together.",,,VC Portfolio (alternative method),Sequoia Capital,
"Doordash
Doordash Is An On-Demand Delivery Service.",,,VC Portfolio (alternative method),Sequoia Capital,
"Airbnb
Airbnb Connects People Around The World With Unique Homes And Unforgettable Experiences.",,,VC Portfolio (alternative method),Sequoia Capital,
"Linear
Linear Builds Issue Tracking Tools For Developers.",,,VC Portfolio (alternative method),Sequoia Capital,
"Paypal
Paypal Is The Digital Payment Solution Behind The Digital Wallet.",,,VC Portfolio (alternative method),Sequoia Capital,
"Block
Block Is Square, Cash App, Spiral, Tidal, Tbd, And Other Foundational Teams.",,,VC Portfolio (alternative method),Sequoia Capital,
"Snowflake
Snowflake Is A Data Warehouse Platform Built For The Cloud.",,,VC Portfolio (alternative method),Sequoia Capital,
"Spacex
Spacex Designs, Manufactures And Launches Rockets And Spacecraft.",,,VC Portfolio (alternative method),Sequoia Capital,
"Vanta
Vanta Automates And Simplifies Security And Compliance.",,,VC Portfolio (alternative method),Sequoia Capital,
"Nubank
Nubank Provides Next-Generation Mobile Banking And Financial Services To The Latin American Market.",,,VC Portfolio (alternative method),Sequoia Capital,
"Stripe
Stripe Is Building An Economic Infrastructure For The Internet.",,,VC Portfolio (alternative method),Sequoia Capital,
"Retool
Retool Is The Fastest Way To Build Internal Applications.",,,VC Portfolio (alternative method),Sequoia Capital,
"Zoom
Zoom Brings Teams Together With Cloud-Based Video Communications.",,,VC Portfolio (alternative method),Sequoia Capital,
"Whatsapp
Whatsapp, Now Part Of Facebook, Is An End-To-End Encrypted Mobile Messenger App.",,,VC Portfolio (alternative method),Sequoia Capital,
"Google
Google Organizes The World'S Information.",,,VC Portfolio (alternative method),Sequoia Capital,
"Hubspot
Hubspot Builds All-In-One Marketing Software.",,,VC Portfolio (alternative method),Sequoia Capital,
"Unity
Unity Is A 3D And Vr Content Development Platform.",,,VC Portfolio (alternative method),Sequoia Capital,
"Instagram
Instagram, Now Part Of Meta, Is The World'S Most Popular Photo-Sharing App.",,,VC Portfolio (alternative method),Sequoia Capital,
"Cisco
Cisco Makes Networking, Security And Collaboration Products For Enterprise Companies.",,,VC Portfolio (alternative method),Sequoia Capital,
Our Ethos,,,VC Portfolio (alternative method),Sequoia Capital,
Our History,,,VC Portfolio (alternative method),Sequoia Capital,
Newsletter,,,VC Portfolio (alternative method),Sequoia Capital,
Legal,,,VC Portfolio (alternative method),Sequoia Capital,
Sequoia Capital,,,VC Portfolio (alternative method),Sequoia Capital,
Sequoia Heritage,,,VC Portfolio (alternative method),Sequoia Capital,
Sequoia Capital Global Equities,,,VC Portfolio (alternative method),Sequoia Capital,
Lp Login,,,VC Portfolio (alternative method),Sequoia Capital,
Sequoia Ampersand Login,,,VC Portfolio (alternative method),Sequoia Capital,
Menu,,,VC Portfolio (alternative method),Khosla Ventures,
Close,,,VC Portfolio (alternative method),Khosla Ventures,
Aboutimagining The Possible,,,VC Portfolio (alternative method),Khosla Ventures,
Portfoliomaking The Impossible Happen,,,VC Portfolio (alternative method),Khosla Ventures,
Teamventure Assistance,,,VC Portfolio (alternative method),Khosla Ventures,
Entrepreneursresources For Entrepreneurs,,,VC Portfolio (alternative method),Khosla Ventures,
Kv@Khoslaventures.Com,,,VC Portfolio (alternative method),Khosla Ventures,
Media@Khoslaventures.Com,,,VC Portfolio (alternative method),Khosla Ventures,
Categories,,,VC Portfolio (alternative method),Khosla Ventures,
Careers,,,VC Portfolio (alternative method),Khosla Ventures,
Consumer & Retail,,,VC Portfolio (alternative method),Khosla Ventures,
Frontier,,,VC Portfolio (alternative method),Khosla Ventures,
Sustainability,,,VC Portfolio (alternative method),Khosla Ventures,
Digital Health,,,VC Portfolio (alternative method),Khosla Ventures,
Medtech & Diagnostics,,,VC Portfolio (alternative method),Khosla Ventures,
Therapeutics,,,VC Portfolio (alternative method),Khosla Ventures,
Select Exits,,,VC Portfolio (alternative method),Khosla Ventures,
View More,,,VC Portfolio (alternative method),Khosla Ventures,
Transforming The Way America Eats,,,VC Portfolio (alternative method),Khosla Ventures,
Fueling Human Potential Through Optimal Sleep,,,VC Portfolio (alternative method),Khosla Ventures,
One-Stop Shop For Wholesale,,,VC Portfolio (alternative method),Khosla Ventures,
One Dedicated Handyman For Your Home,,,VC Portfolio (alternative method),Khosla Ventures,
Hyper-Personalized Stories Powered By Ai,,,VC Portfolio (alternative method),Khosla Ventures,
World'S Largest Online Grocery Service,,,VC Portfolio (alternative method),Khosla Ventures,
Creating Objects Out Of Light And Thin Air,,,VC Portfolio (alternative method),Khosla Ventures,
Sell A Home In Minutes,,,VC Portfolio (alternative method),Khosla Ventures,
Watch Live Sports With Friends,,,VC Portfolio (alternative method),Khosla Ventures,
Personalized Automated Oral Health System,,,VC Portfolio (alternative method),Khosla Ventures,
Personal Ai-Powered Chatbot,,,VC Portfolio (alternative method),Khosla Ventures,
Clinical Grade Headband To Improve Sleep,,,VC Portfolio (alternative method),Khosla Ventures,
Largest Music Game On Roblox,,,VC Portfolio (alternative method),Khosla Ventures,
First Federally Chartered Crypto Bank,,,VC Portfolio (alternative method),Khosla Ventures,
Ai-Powered Finance Workflow,,,VC Portfolio (alternative method),Khosla Ventures,
Automated Analog Layout,,,VC Portfolio (alternative method),Khosla Ventures,
Building An Ai+Human Executive Assistant,,,VC Portfolio (alternative method),Khosla Ventures,
Agentic Service Management Platform,,,VC Portfolio (alternative method),Khosla Ventures,
Chip Design Reimagined With Ai,,,VC Portfolio (alternative method),Khosla Ventures,
Ai-Powered Website Optimization,,,VC Portfolio (alternative method),Khosla Ventures,
"Makers Of Devin, The First Ai Software Engineer.",,,VC Portfolio (alternative method),Khosla Ventures,
Antivirus Software To Prevent Rather Than Detect,,,VC Portfolio (alternative method),Khosla Ventures,
Force Multiply Your Cloud Security Team,,,VC Portfolio (alternative method),Khosla Ventures,
Ai Assistant To Transcribe And Summarize Meetings,,,VC Portfolio (alternative method),Khosla Ventures,
Devsecops,,,VC Portfolio (alternative method),Khosla Ventures,
Business Automation In Your Own Words,,,VC Portfolio (alternative method),Khosla Ventures,
Ai-Powered Contract Management System,,,VC Portfolio (alternative method),Khosla Ventures,
Building Blocks For Platform Creators,,,VC Portfolio (alternative method),Khosla Ventures,
World'S Largest Realtime People Database Powered By Ai,,,VC Portfolio (alternative method),Khosla Ventures,
Serverless Postgres,,,VC Portfolio (alternative method),Khosla Ventures,
World'S Largest Decentralized Wireless Network.,,,VC Portfolio (alternative method),Khosla Ventures,
One Platform To Run All Your Apps And Data Anywhere,,,VC Portfolio (alternative method),Khosla Ventures,
World'S Identity Company,,,VC Portfolio (alternative method),Khosla Ventures,
Adapting The Web For Ais,,,VC Portfolio (alternative method),Khosla Ventures,
Superhuman Customer Support Voice Assistants Powered By Ai,,,VC Portfolio (alternative method),Khosla Ventures,
Empowering A Billion Software Developers,,,VC Portfolio (alternative method),Khosla Ventures,
Simplified Business Communications,,,VC Portfolio (alternative method),Khosla Ventures,
Ai Gamemaker,,,VC Portfolio (alternative method),Khosla Ventures,
Data Security And Operational Resilience For Enterprises,,,VC Portfolio (alternative method),Khosla Ventures,
Building A Native Ai Foundational Model For Japan,,,VC Portfolio (alternative method),Khosla Ventures,
Building The Full-Stack For Generative Ai In India,,,VC Portfolio (alternative method),Khosla Ventures,
Copilot For Architects And Interior Designers,,,VC Portfolio (alternative method),Khosla Ventures,
Data Privacy Vault For Ai,,,VC Portfolio (alternative method),Khosla Ventures,
Staying On Top Of Cyber Threats,,,VC Portfolio (alternative method),Khosla Ventures,
Pay Over Time Without Hidden Fees,,,VC Portfolio (alternative method),Khosla Ventures,
Cyber Insurance,,,VC Portfolio (alternative method),Khosla Ventures,
Credit Card Using Your Home Equity For Lower Rates,,,VC Portfolio (alternative method),Khosla Ventures,
Ai Agents Built For Accountants,,,VC Portfolio (alternative method),Khosla Ventures,
Enabling Businesses To Participate In The Economy,,,VC Portfolio (alternative method),Khosla Ventures,
Platform For Small Businesses To Optimize Cash Flow,,,VC Portfolio (alternative method),Khosla Ventures,
Finance Simplified,,,VC Portfolio (alternative method),Khosla Ventures,
Real Estate Investing For Everyone,,,VC Portfolio (alternative method),Khosla Ventures,
Financial Infrastructure For The Internet,,,VC Portfolio (alternative method),Khosla Ventures,
Helping American Small Businesses Become Employee-Owned,,,VC Portfolio (alternative method),Khosla Ventures,
Building A New Way To Live Where Renters Build Wealth Like Owners,,,VC Portfolio (alternative method),Khosla Ventures,
Improving Access To Affordable Credit With Ai,,,VC Portfolio (alternative method),Khosla Ventures,
Building Identity And Financial Network As A Public Utility For All,,,VC Portfolio (alternative method),Khosla Ventures,
Revolutionizing Analog Computing For Ai,,,VC Portfolio (alternative method),Khosla Ventures,
Intelligent Enterprise Robotics,,,VC Portfolio (alternative method),Khosla Ventures,
New York To London In 90 Minutes Via Mach 5 Aircraft,,,VC Portfolio (alternative method),Khosla Ventures,
Intelligent Robotics For Item Handling,,,VC Portfolio (alternative method),Khosla Ventures,
Ai Benefiting Humanity,,,VC Portfolio (alternative method),Khosla Ventures,
"Frequent, Reliable Access To Space",,,VC Portfolio (alternative method),Khosla Ventures,
High-Resolution Imaging Satellites,,,VC Portfolio (alternative method),Khosla Ventures,
Structured Cognition In Machines,,,VC Portfolio (alternative method),Khosla Ventures,
Manufacturing In Space,,,VC Portfolio (alternative method),Khosla Ventures,
Building Delivery Bots,,,VC Portfolio (alternative method),Khosla Ventures,
Self-Driving Trucks,,,VC Portfolio (alternative method),Khosla Ventures,
Ai-Powered Weather Balloons,,,VC Portfolio (alternative method),Khosla Ventures,
High-Resolution Radar,,,VC Portfolio (alternative method),Khosla Ventures,
Universal Manufacturing Network,,,VC Portfolio (alternative method),Khosla Ventures,
Changing Agriculture With Intelligent Machinery,,,VC Portfolio (alternative method),Khosla Ventures,
Using Perovskites For Lower-Cost Solar,,,VC Portfolio (alternative method),Khosla Ventures,
Unlocking The World'S Copper,,,VC Portfolio (alternative method),Khosla Ventures,
Limitless Clean Fusion Energy,,,VC Portfolio (alternative method),Khosla Ventures,
Low Co₂ Cement,,,VC Portfolio (alternative method),Khosla Ventures,
High-Capacity Urban Mass Transit,,,VC Portfolio (alternative method),Khosla Ventures,
"Burgers, Chicken Nuggets And Pork All From Plants",,,VC Portfolio (alternative method),Khosla Ventures,
"Identify, Access, And Produce Geologic Hydrogen",,,VC Portfolio (alternative method),Khosla Ventures,
Transforming Pollution Into Sustainable Fuels,,,VC Portfolio (alternative method),Khosla Ventures,
Capturing Rubisco Protein From Green Leaves,,,VC Portfolio (alternative method),Khosla Ventures,
Next-Generation Lithium-Ion Battery Recycling,,,VC Portfolio (alternative method),Khosla Ventures,
Local Power Generation For A Zero-Carbon Future,,,VC Portfolio (alternative method),Khosla Ventures,
Fertilizer From Air,,,VC Portfolio (alternative method),Khosla Ventures,
Solid State Lithium Batteries,,,VC Portfolio (alternative method),Khosla Ventures,
Industrial Heat And Power From Fusion,,,VC Portfolio (alternative method),Khosla Ventures,
Energy Storage Solution,,,VC Portfolio (alternative method),Khosla Ventures,
Circular Apparel,,,VC Portfolio (alternative method),Khosla Ventures,
Direct Air Capture At Scale,,,VC Portfolio (alternative method),Khosla Ventures,
Improving Critical Resource Development With Advanced Intelligent Systems,,,VC Portfolio (alternative method),Khosla Ventures,
Green Hydrogen Using Renewable Energy & Water,,,VC Portfolio (alternative method),Khosla Ventures,
Transforming Cardiologic Care Using Deep Learning,,,VC Portfolio (alternative method),Khosla Ventures,
Exercise Platform To Prevent Falls,,,VC Portfolio (alternative method),Khosla Ventures,
Prediction Model For Cancer,,,VC Portfolio (alternative method),Khosla Ventures,
Ai-Assisted Primary Care,,,VC Portfolio (alternative method),Khosla Ventures,
In-The-Moment Care For Every Emotion,,,VC Portfolio (alternative method),Khosla Ventures,
Empowering People To Improve Their Heart Health,,,VC Portfolio (alternative method),Khosla Ventures,
Ai Therapist,,,VC Portfolio (alternative method),Khosla Ventures,
Health Insurance Built On A Full-Stack Tech Platform,,,VC Portfolio (alternative method),Khosla Ventures,
Ai Radiology Workflow Automation Tool,,,VC Portfolio (alternative method),Khosla Ventures,
Simplifying The Healthcare Experience For Clients And Members,,,VC Portfolio (alternative method),Khosla Ventures,
Freeing The World From Pain,,,VC Portfolio (alternative method),Khosla Ventures,
Ai Copilot For Physicians,,,VC Portfolio (alternative method),Khosla Ventures,
"Automated, Software-Only Platform That Greatly Simplifies A Cmr Exam",,,VC Portfolio (alternative method),Khosla Ventures,
Medication-Free Depression Treatment,,,VC Portfolio (alternative method),Khosla Ventures,
Transforming Cancer Care Through Blood Tests,,,VC Portfolio (alternative method),Khosla Ventures,
Rapid Diagnostic Tests That Read The Immune System,,,VC Portfolio (alternative method),Khosla Ventures,
Robots For Biologists,,,VC Portfolio (alternative method),Khosla Ventures,
An Embryology Lab In A Box Making Ivf More Accesible,,,VC Portfolio (alternative method),Khosla Ventures,
Building Next-Gen Biomaterials For Smart Biologics,,,VC Portfolio (alternative method),Khosla Ventures,
Autonomous Full Body Scanner,,,VC Portfolio (alternative method),Khosla Ventures,
Matching Each Autoimmune Patient With Their Most Effective Therapy,,,VC Portfolio (alternative method),Khosla Ventures,
Instant Access To Biomarkers Using Silicon Photonics.,,,VC Portfolio (alternative method),Khosla Ventures,
Brain Computer Interface To Treat Paralysis And More,,,VC Portfolio (alternative method),Khosla Ventures,
$100 Dna Sequencing Platform,,,VC Portfolio (alternative method),Khosla Ventures,
Robots For Minimally Invasive Surgery,,,VC Portfolio (alternative method),Khosla Ventures,
Neonatal Platform For Preterm Infants,,,VC Portfolio (alternative method),Khosla Ventures,
Longevity Therapeutics Discovery,,,VC Portfolio (alternative method),Khosla Ventures,
Micro-Robots To Navigate The Human Body,,,VC Portfolio (alternative method),Khosla Ventures,
Microfluidics-Based Cell Engineering Platform,,,VC Portfolio (alternative method),Khosla Ventures,
Autonomizing Stem Cell Therapy Manufacturing.,,,VC Portfolio (alternative method),Khosla Ventures,
Individualized Precision Therapeutics,,,VC Portfolio (alternative method),Khosla Ventures,
Precision Nucleic Acid Delivery Technology,,,VC Portfolio (alternative method),Khosla Ventures,
Extending Lifespan Of Dogs,,,VC Portfolio (alternative method),Khosla Ventures,
Pioneering Precision Epigenetic Medicines,,,VC Portfolio (alternative method),Khosla Ventures,
Immune Organoid Technology For Cancer,,,VC Portfolio (alternative method),Khosla Ventures,
3D-Printed Lymph Node Organoids,,,VC Portfolio (alternative method),Khosla Ventures,
Targeting Cells That Cause Aging,,,VC Portfolio (alternative method),Khosla Ventures,
Turning Cells Into Bioreactors To Manufacture Proteins In The Body,,,VC Portfolio (alternative method),Khosla Ventures,
Lab-Grown Human Organs For Drug Discovery,,,VC Portfolio (alternative method),Khosla Ventures,
Openai,,,News Mentions Fallback,,15.0
Anthropic,,,News Mentions Fallback,,12.0
Scale Ai,,,News Mentions Fallback,,8.0
Databricks,,,News Mentions Fallback,,7.0
Rippling,,,News Mentions Fallback,,6.0
Plaid,,,News Mentions Fallback,,5.0
